profile,layer,gamma,metric,n,mean,lower,upper
03878c8d9b9954cd,4,1.0,cka_drift,3,0.3102950887430989,0.26369385538934365,0.3640959897180225
03878c8d9b9954cd,4,16.0,cka_drift,3,0.36836873928028596,0.30567754817820936,0.43874094978812717
03878c8d9b9954cd,4,128.0,cka_drift,3,0.36097057830976803,0.2966511838301149,0.43118076605599986
03878c8d9b9954cd,4,0.03125,effective_rank,3,15.493597961968995,14.486778108960086,16.082177677828795
03878c8d9b9954cd,4,0.5,effective_rank,3,8.12602229277743,7.674971058520714,8.437565628751766
03878c8d9b9954cd,4,1.0,effective_rank,3,5.311248743757573,5.027570794654189,5.575313091855121
03878c8d9b9954cd,4,16.0,effective_rank,3,2.9983428397877883,2.9604010585683525,3.0311165866247314
03878c8d9b9954cd,4,128.0,effective_rank,3,2.5979654974565256,2.556795675259924,2.6321443258107804
03878c8d9b9954cd,4,0.03125,local_normalized_q01,3,0.8613854845364889,0.8118354678153992,0.8946226239204407
03878c8d9b9954cd,4,0.5,local_normalized_q01,3,0.546869158744812,0.5052049160003662,0.5798972249031067
03878c8d9b9954cd,4,1.0,local_normalized_q01,3,0.3487803439299266,0.31256476044654846,0.3677687644958496
03878c8d9b9954cd,4,16.0,local_normalized_q01,3,0.04129674409826597,0.035687416791915894,0.04542672261595726
03878c8d9b9954cd,4,128.0,local_normalized_q01,3,0.010762304378052553,0.00799777451902628,0.01296065654605627
03878c8d9b9954cd,4,0.03125,global_normalized_q01,3,0.3828214327629647,0.37070449977732123,0.39104723823141274
03878c8d9b9954cd,4,0.5,global_normalized_q01,3,0.3139928497238381,0.2906126836650203,0.33058701384174305
03878c8d9b9954cd,4,1.0,global_normalized_q01,3,0.21738230425022972,0.20350405284586612,0.22568052825284216
03878c8d9b9954cd,4,16.0,global_normalized_q01,3,0.044687175953738244,0.03975886647951882,0.0482884372813879
03878c8d9b9954cd,4,128.0,global_normalized_q01,3,0.027839639188402616,0.025649036861955795,0.029993423909376666
03878c8d9b9954cd,4,0.03125,nuisance_jacobian,3,3.7040024598439536,3.594966411590576,3.793509006500244
03878c8d9b9954cd,4,0.5,nuisance_jacobian,3,3.489583174387614,3.3838257789611816,3.569610595703125
03878c8d9b9954cd,4,1.0,nuisance_jacobian,3,3.423332452774048,3.380723476409912,3.5055270195007324
03878c8d9b9954cd,4,16.0,nuisance_jacobian,3,3.513643423716227,3.4429993629455566,3.5961709022521973
03878c8d9b9954cd,4,128.0,nuisance_jacobian,3,9.217594146728516,8.667503356933594,9.867403030395508
03878c8d9b9954cd,4,0.03125,mlp_nuisance_cosine,3,0.9990183115005493,0.9988604784011841,0.9993133544921875
03878c8d9b9954cd,4,0.5,mlp_nuisance_cosine,3,0.998791774113973,0.9982553720474243,0.9991627931594849
03878c8d9b9954cd,4,1.0,mlp_nuisance_cosine,3,0.9991480906804403,0.9991431832313538,0.9991536140441895
03878c8d9b9954cd,4,16.0,mlp_nuisance_cosine,3,0.9984417955080668,0.9974598288536072,0.9991258382797241
03878c8d9b9954cd,4,128.0,mlp_nuisance_cosine,3,0.9946205019950867,0.9924675822257996,0.9959172606468201
03878c8d9b9954cd,4,0.03125,ph_h1_top2,3,0.5067508949173821,0.4730310042699178,0.5373194018999735
03878c8d9b9954cd,4,0.5,ph_h1_top2,3,0.35598164465692306,0.30400629838307697,0.39964039127031964
03878c8d9b9954cd,4,1.0,ph_h1_top2,3,0.20868966314527726,0.18686543901761374,0.22950266798337302
03878c8d9b9954cd,4,16.0,ph_h1_top2,3,0.028245372076829273,0.023702154556910198,0.036762175460656486
03878c8d9b9954cd,4,128.0,ph_h1_top2,3,0.016044795513153076,0.012081906199455261,0.022158116102218628
